area_id,centroid_x,centroid_y,time_bin,crime_count,year,month
21,1153513.5391738585,1920853.995915648,2001-03-01,401,2001,3
22,1156836.3469266074,1915082.0084118515,2001-03-01,1013,2001,3
23,1150972.7668141976,1906770.342059686,2001-03-01,1386,2001,3
24,1163101.1946640266,1907274.5603450881,2001-03-01,1258,2001,3
25,1139501.4455203577,1904515.317302641,2001-03-01,2473,2001,3
26,1148492.0800920937,1898926.8208310378,2001-03-01,609,2001,3
27,1155118.4720060378,1899090.9879511695,2001-03-01,610,2001,3
28,1166673.6370903612,1897389.3366012694,2001-03-01,1317,2001,3
29,1152083.8689112775,1892245.4895438715,2001-03-01,974,2001,3
30,1153015.4749217809,1884561.8899471175,2001-03-01,633,2001,3
31,1165637.2199076533,1888730.3063228142,2001-03-01,413,2001,3
32,1177096.9672659107,1899244.1743320609,2001-03-01,968,2001,3
33,1178485.438118167,1891354.3372206932,2001-03-01,337,2001,3
34,1174814.7645357142,1885818.5583101348,2001-03-01,196,2001,3
35,1179003.7146051468,1883317.3478258073,2001-03-01,883,2001,3
36,1183252.4657469783,1879210.3935520067,2001-03-01,116,2001,3
37,1175334.896725607,1873799.9673749614,2001-03-01,168,2001,3
38,1179293.9300989718,1875240.8957496388,2001-03-01,895,2001,3
39,1185215.7152495903,1873821.3589570147,2001-03-01,243,2001,3
40,1179336.8364875505,1867737.225510901,2001-03-01,438,2001,3
41,1186318.0364974132,1868427.9125587565,2001-03-01,262,2001,3
42,1185652.6763233524,1862878.1135765524,2001-03-01,694,2001,3
43,1191748.143530457,1856627.1394431274,2001-03-01,1297,2001,3
44,1180030.3224386035,1848738.0951337416,2001-03-01,815,2001,3
45,1188101.853103473,1850262.1723165894,2001-03-01,160,2001,3
46,1197641.3941914532,1849269.397799384,2001-03-01,644,2001,3
47,1185388.0780622198,1844401.7278814055,2001-03-01,45,2001,3
48,1191868.593139188,1845002.6713110155,2001-03-01,202,2001,3
49,1178112.5798496811,1836471.3544372986,2001-03-01,919,2001,3
50,1184970.746915072,1836360.4899814639,2001-03-01,133,2001,3
51,1192720.4756234041,1830782.2232708456,2001-03-01,241,2001,3
52,1202266.0613786809,1836946.5777759908,2001-03-01,210,2001,3
53,1174830.6278669012,1824503.5080535645,2001-03-01,604,2001,3
54,1183858.98899117,1819591.7650869673,2001-03-01,230,2001,3
55,1199233.7154282685,1819872.1287698066,2001-03-01,94,2001,3
56,1139429.1895410677,1868834.425853946,2001-03-01,440,2001,3
57,1149720.1452195724,1874259.0310946703,2001-03-01,157,2001,3
58,1157200.3733474382,1876677.085333102,2001-03-01,384,2001,3
59,1164350.1650247623,1881306.622101333,2001-03-01,174,2001,3
60,1170795.2226652165,1883626.6359742072,2001-03-01,238,2001,3
61,1168044.5029453787,1873717.5265209724,2001-03-01,828,2001,3
62,1150353.88820166,1867741.5986535647,2001-03-01,120,2001,3
63,1157920.791905841,1868688.7831583412,2001-03-01,386,2001,3
64,1138304.9116959611,1862776.6159634923,2001-03-01,176,2001,3
65,1149671.3394004735,1859281.0512146184,2001-03-01,299,2001,3
66,1158194.1827721328,1860097.1885204061,2001-03-01,838,2001,3
67,1166112.494391112,1861644.157359324,2001-03-01,1062,2001,3
68,1172682.1108629822,1862157.8824890652,2001-03-01,1004,2001,3
69,1179915.415523343,1857133.6761266873,2001-03-01,866,2001,3
70,1154799.0756806124,1850564.5073838087,2001-03-01,314,2001,3
71,1169010.3149361743,1850106.2480561812,2001-03-01,906,2001,3
72,1163974.6939294208,1838749.8368157928,2001-03-01,136,2001,3
73,1171110.1595550596,1840388.6295198626,2001-03-01,405,2001,3
74,1153615.4194916761,1832015.3475791754,2001-03-01,74,2001,3
75,1165684.4159703245,1830228.9771308429,2001-03-01,285,2001,3
76,1103795.0892087778,1934035.936059137,2001-03-01,256,2001,3
77,1166380.2824219316,1938460.0065355555,2001-03-01,508,2001,3
1,1164480.3670969477,1946794.6658478852,2001-04-01,722,2001,4
2,1157749.8280517957,1943809.189041452,2001-04-01,399,2001,4
3,1168489.7751756336,1930860.1225962283,2001-04-01,703,2001,4
4,1159860.137089553,1934204.1330181102,2001-04-01,308,2001,4
5,1160936.58458251,1924234.5553939813,2001-04-01,298,2001,4
6,1168519.473651409,1922994.077535171,2001-04-01,724,2001,4
7,1170352.9929011667,1915158.7952642099,2001-04-01,510,2001,4
8,1174825.1205699488,1906782.4280028404,2001-04-01,1414,2001,4
9,1125454.3090479926,1945792.4921583226,2001-04-01,42,2001,4
10,1128312.2524238112,1937657.1844246434,2001-04-01,131,2001,4
11,1137104.9560430117,1935376.9598655892,2001-04-01,158,2001,4
12,1140551.95479361,1940902.8186030814,2001-04-01,43,2001,4
13,1150030.6522368554,1937217.0784950166,2001-04-01,152,2001,4
14,1150621.491422269,1931548.2057546456,2001-04-01,346,2001,4
15,1139277.1379005318,1926353.022610638,2001-04-01,497,2001,4
16,1150144.1735739347,1926265.4662503854,2001-04-01,455,2001,4
17,1127700.6737139402,1923539.8756414857,2001-04-01,251,2001,4
18,1129912.8614435624,1917280.5174140923,2001-04-01,88,2001,4
